operator,beta,L,ncfg,nsmear,tau,C_over_C0,C_err,m_eff,m_eff_err,a_m_0pp_expected
action_density,2.5,16,256,0,3,-0.018226,0.009265,,,0.7144
action_density,2.5,16,256,0,4,-0.004558,0.01118,,,0.7144
action_density,2.5,16,256,0,5,0.004764,0.010925,,,0.7144
action_density,2.5,16,256,0,6,0.005791,0.01515,,,0.7144
plaquette_0pp,2.5,16,256,0,0,1.0,0.0,2.512099,0.173281,0.7144
plaquette_0pp,2.5,16,256,0,1,0.081098,0.013736,2.086962,2.689235,0.7144
plaquette_0pp,2.5,16,256,0,2,0.010061,0.014281,,,0.7144
plaquette_0pp,2.5,16,256,0,3,-0.020456,0.018666,,,0.7144
plaquette_0pp,2.5,16,256,0,4,0.008471,0.010475,-0.247108,2.493287,0.7144
plaquette_0pp,2.5,16,256,0,5,0.010845,0.007012,,,0.7144
plaquette_0pp,2.5,16,256,0,6,0.003954,0.01544,,,0.7144
action_density,2.5,16,256,8,0,1.0,0.0,2.437362,0.083881,0.7144
action_density,2.5,16,256,8,1,0.087391,0.007362,1.342085,0.290874,0.7144
action_density,2.5,16,256,8,2,0.022835,0.006475,,,0.7144
action_density,2.5,16,256,8,3,0.003215,0.009595,,,0.7144
action_density,2.5,16,256,8,4,-0.00399,0.013697,,,0.7144
action_density,2.5,16,256,8,5,-0.009481,0.011825,,,0.7144
action_density,2.5,16,256,8,6,-0.008848,0.01394,,,0.7144
plaquette_0pp,2.5,16,256,8,0,1.0,0.0,1.113462,0.021133,0.7144
plaquette_0pp,2.5,16,256,8,1,0.32842,0.006934,0.999901,0.067604,0.7144
plaquette_0pp,2.5,16,256,8,2,0.120831,0.007864,1.108474,0.232696,0.7144
plaquette_0pp,2.5,16,256,8,3,0.039882,0.009846,0.332636,0.2023,0.7144
plaquette_0pp,2.5,16,256,8,4,0.028596,0.007417,,,0.7144
plaquette_0pp,2.5,16,256,8,5,0.008573,0.011258,,,0.7144
plaquette_0pp,2.5,16,256,8,6,-0.009154,0.014047,,,0.7144
action_density,2.5,16,256,24,0,1.0,0.0,2.341776,0.069497,0.7144
action_density,2.5,16,256,24,1,0.096157,0.006701,1.330965,0.280492,0.7144
action_density,2.5,16,256,24,2,0.025407,0.006365,,,0.7144
action_density,2.5,16,256,24,3,0.006124,0.010141,,,0.7144
action_density,2.5,16,256,24,4,-0.004881,0.016269,,,0.7144
action_density,2.5,16,256,24,5,-0.015753,0.011837,,,0.7144
action_density,2.5,16,256,24,6,-0.005806,0.014168,,,0.7144
plaquette_0pp,2.5,16,256,24,0,1.0,0.0,0.889776,0.029625,0.7144
plaquette_0pp,2.5,16,256,24,1,0.410748,0.012135,0.795585,0.036396,0.7144
plaquette_0pp,2.5,16,256,24,2,0.185378,0.008227,0.699564,0.097936,0.7144
plaquette_0pp,2.5,16,256,24,3,0.092096,0.011138,0.609166,0.261932,0.7144
plaquette_0pp,2.5,16,256,24,4,0.050082,0.017124,0.24202,0.200117,0.7144
plaquette_0pp,2.5,16,256,24,5,0.039317,0.016626,1.089295,1.078438,0.7144
plaquette_0pp,2.5,16,256,24,6,0.013228,0.01312,,,0.7144
action_density,2.3,20,256,0,0,1.0,0.0,1.582305,0.026641,1.2687
action_density,2.3,20,256,0,1,0.205501,0.005496,1.455881,0.123332,1.2687
action_density,2.3,20,256,0,2,0.047922,0.005121,0.485244,0.43027,1.2687
action_density,2.3,20,256,0,3,0.029498,0.011994,,,1.2687
action_density,2.3,20,256,0,4,0.006362,0.016216,,,1.2687
action_density,2.3,20,256,0,5,0.002132,0.012011,,,1.2687
action_density,2.3,20,256,0,6,-0.01878,0.008752,,,1.2687
plaquette_0pp,2.3,20,256,0,0,1.0,0.0,2.14088,0.097303,1.2687
plaquette_0pp,2.3,20,256,0,1,0.117551,0.011487,1.549145,0.424426,1.2687
plaquette_0pp,2.3,20,256,0,2,0.024971,0.009273,-0.056694,0.668552,1.2687
plaquette_0pp,2.3,20,256,0,3,0.026428,0.011532,,,1.2687
plaquette_0pp,2.3,20,256,0,4,0.004449,0.012208,,,1.2687
plaquette_0pp,2.3,20,256,0,5,0.000558,0.008172,,,1.2687
plaquette_0pp,2.3,20,256,0,6,-0.003248,0.007035,,,1.2687
action_density,2.3,20,256,8,0,1.0,0.0,1.680131,0.014332,1.2687
action_density,2.3,20,256,8,1,0.18635,0.002672,1.151646,0.1942,1.2687
action_density,2.3,20,256,8,2,0.058908,0.011399,0.903681,0.508676,1.2687
action_density,2.3,20,256,8,3,0.023862,0.013075,0.757206,1.20946,1.2687
action_density,2.3,20,256,8,4,0.011191,0.014443,-0.453327,1.49719,1.2687
action_density,2.3,20,256,8,5,0.017609,0.005083,,,1.2687
action_density,2.3,20,256,8,6,-0.011389,0.009082,,,1.2687
plaquette_0pp,2.3,20,256,8,0,1.0,0.0,1.454528,0.055049,1.2687
plaquette_0pp,2.3,20,256,8,1,0.233511,0.012856,1.643003,0.185326,1.2687
plaquette_0pp,2.3,20,256,8,2,0.045161,0.009653,,,1.2687
plaquette_0pp,2.3,20,256,8,3,0.00257,0.012598,,,1.2687
plaquette_0pp,2.3,20,256,8,4,-0.002575,0.014805,,,1.2687
plaquette_0pp,2.3,20,256,8,5,0.022693,0.009701,0.231184,0.568249,1.2687
plaquette_0pp,2.3,20,256,8,6,0.018009,0.008112,,,1.2687
action_density,2.3,20,256,24,0,1.0,0.0,1.598593,0.009509,1.2687
action_density,2.3,20,256,24,1,0.202181,0.001924,1.167963,0.180526,1.2687
action_density,2.3,20,256,24,2,0.062878,0.010977,1.067086,0.568024,1.2687
action_density,2.3,20,256,24,3,0.021631,0.012713,,,1.2687
action_density,2.3,20,256,24,4,0.010653,0.015774,,,1.2687
action_density,2.3,20,256,24,5,0.013262,0.004093,,,1.2687
action_density,2.3,20,256,24,6,-0.009952,0.007948,,,1.2687
plaquette_0pp,2.3,20,256,24,0,1.0,0.0,1.841362,0.062754,1.2687
plaquette_0pp,2.3,20,256,24,1,0.158601,0.00996,1.217078,0.192404,1.2687
plaquette_0pp,2.3,20,256,24,2,0.046961,0.011445,,,1.2687
plaquette_0pp,2.3,20,256,24,3,-0.001004,0.012781,,,1.2687
plaquette_0pp,2.3,20,256,24,4,0.00138,0.009077,,,1.2687
plaquette_0pp,2.3,20,256,24,5,0.023239,0.004597,0.077756,0.512693,1.2687
plaquette_0pp,2.3,20,256,24,6,0.0215,0.012637,,,1.2687
