group,L,T,beta,collection,field,test,reference,bracket_half_gap,n_configs,stored_mean,stored_sem,equilibrium_mean,equilibrium_sem,offset,sigma,verdict,eq_method,eq_sweeps,eq_n
su3,8,16,5.5,configs_phase1,density,level_vs_reference,hot_only,,128,3.019562,0.001321,3.014833,0.001859,0.004729,2.1,at_equilibrium,heatbath,120,8
su3,8,16,5.7,configs_phase1,density,level_vs_reference,hot_only,,128,2.704235,0.001219,2.705535,0.001357,-0.001299,0.7,at_equilibrium,heatbath,120,8
su3,8,16,5.9,configs_phase1,density,level_vs_reference,hot_only,,128,2.507808,0.000829,2.506671,0.00122,0.001136,0.8,at_equilibrium,heatbath,120,8
su3,8,16,6.0,configs_phase1,density,level_vs_reference,hot_only,,128,2.435218,0.000922,2.437355,0.001145,-0.002137,1.5,at_equilibrium,heatbath,120,8
su3,8,16,6.1,configs_phase1,density,level_vs_reference,hot_only,,128,2.373969,0.000801,2.375048,0.001244,-0.001079,0.7,at_equilibrium,heatbath,120,8
su3,8,16,6.3,configs_phase1,density,level_vs_reference,hot_only,,128,2.26406,0.000722,2.265452,0.001165,-0.001391,1.0,at_equilibrium,heatbath,120,8
su3,12,24,6.0,configs_phase1,density,level_vs_reference,hot_only,,64,2.438059,0.000511,2.438006,0.000421,5.3e-05,0.1,at_equilibrium,heatbath,120,8
u1,8,16,0.4,configs_paper83,density,level_vs_reference,bracketed,0.004342,48,4.814566,0.002478,4.819946,0.004786,-0.005379,1.0,at_equilibrium,metropolis,20000,8
u1,8,16,0.5,configs_paper83,density,level_vs_reference,bracketed,0.000295,48,4.526002,0.0031,4.525868,0.001203,0.000134,0.0,at_equilibrium,metropolis,20000,8
u1,8,16,0.6,configs_paper83,density,level_vs_reference,bracketed,0.000408,48,4.229811,0.003081,4.232758,0.002563,-0.002947,0.7,at_equilibrium,metropolis,20000,8
u1,8,16,0.7,configs_paper83,density,level_vs_reference,bracketed,0.003692,48,3.922419,0.003104,3.922341,0.004846,7.8e-05,0.0,at_equilibrium,metropolis,20000,8
u1,8,16,0.8,configs_paper83,density,level_vs_reference,bracketed,0.000868,48,3.592154,0.003532,3.587865,0.003835,0.004289,0.8,at_equilibrium,metropolis,20000,8
u1,8,16,0.9,configs_paper83,density,level_vs_reference,bracketed,0.002389,48,3.186422,0.003609,3.184582,0.003641,0.00184,0.4,at_equilibrium,metropolis,20000,8
u1,8,16,0.95,configs_paper83,density,level_vs_reference,bracketed,0.004202,48,2.920058,0.004065,2.921018,0.005479,-0.000959,0.1,at_equilibrium,metropolis,20000,8
u1,8,16,1.0,configs_paper83,density,level_vs_reference,bracketed,0.01462,48,2.486444,0.006447,2.494357,0.015032,-0.007913,0.5,at_equilibrium,metropolis,20000,8
u1,8,16,1.05,configs_paper83,density,level_vs_reference,bracketed,0.002123,48,1.85627,0.003414,1.85683,0.003358,-0.00056,0.1,at_equilibrium,metropolis,20000,8
u1,8,16,1.1,configs_paper83,density,level_vs_reference,bracketed,0.00156,48,1.700854,0.003092,1.699395,0.001891,0.001459,0.4,at_equilibrium,metropolis,20000,8
u1,8,16,1.2,configs_paper83,density,level_vs_reference,bracketed,0.001463,48,1.495518,0.002378,1.489281,0.001709,0.006237,2.1,at_equilibrium,metropolis,20000,8
u1,8,16,1.3,configs_paper83,density,level_vs_reference,bracketed,0.003275,48,1.341281,0.001713,1.339786,0.003472,0.001495,0.4,at_equilibrium,metropolis,20000,8
u1,8,16,1.4,configs_paper83,density,level_vs_reference,bracketed,0.002114,128,1.220722,0.001028,1.221212,0.002299,-0.00049,0.2,at_equilibrium,metropolis,20000,8
u1,8,16,1.5,configs_paper83,density,level_vs_reference,bracketed,0.002539,48,1.126533,0.001478,1.125903,0.002877,0.000631,0.2,at_equilibrium,metropolis,20000,8
u1,8,16,1.6,configs_paper83,density,level_vs_reference,bracketed,0.00255,128,1.042685,0.000945,1.04406,0.002767,-0.001375,0.5,at_equilibrium,metropolis,20000,8
u1,8,16,1.7,configs_paper83,density,level_vs_reference,bracketed,0.003049,48,0.974367,0.001161,0.97507,0.003228,-0.000703,0.2,at_equilibrium,metropolis,20000,8
u1,8,16,1.8,configs_paper83,density,level_vs_reference,bracketed,0.0037,128,0.91263,0.000853,0.911063,0.003891,0.001567,0.4,at_equilibrium,metropolis,20000,8
u1,8,16,2.0,configs_paper83,density,level_vs_reference,bracketed,0.001383,128,0.81102,0.000718,0.811929,0.001622,-0.00091,0.5,at_equilibrium,metropolis,20000,8
u1,8,16,2.2,configs_paper83,density,level_vs_reference,bracketed,0.00231,128,0.732116,0.000639,0.730557,0.002598,0.001559,0.6,at_equilibrium,metropolis,20000,8
u1,8,16,2.5,configs_phase1,density,level_vs_reference,bracketed,0.00365,512,0.638194,0.000312,0.637716,0.003718,0.000479,0.1,at_equilibrium,metropolis,20000,8
